"precinct","office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","magnitude","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","date","readme_check"
"ARKADELPHIA WARD 2","US PRESIDENT","CONSTITUTION","OTHER","TOTAL",2,"CLARK","05019","CLARK","05019","DON BLANKENSHIP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 2","US PRESIDENT","SOCIALIST","OTHER","TOTAL",0,"CLARK","05019","CLARK","05019","GLORIA LA RIVA","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 2","US PRESIDENT","GREEN","OTHER","TOTAL",7,"CLARK","05019","CLARK","05019","HOWIE HAWKINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 2","US PRESIDENT","LIFE","OTHER","TOTAL",0,"CLARK","05019","CLARK","05019","JOHN RICHARD MYERS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 2","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",5,"CLARK","05019","CLARK","05019","KANYE WEST","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 2","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",5,"CLARK","05019","CLARK","05019","PHIL COLLINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 2","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",1,"CLARK","05019","CLARK","05019","ROCQUE ""ROCKY"" DE LA FUENTE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 2","US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",289,"CLARK","05019","CLARK","05019","DONALD J TRUMP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",311,"CLARK","05019","CLARK","05019","JOSEPH R BIDEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","LIBERTARIAN","LIBERTARIAN","TOTAL",9,"CLARK","05019","CLARK","05019","JO JORGENSEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","AMERICAN","OTHER","TOTAL",1,"CLARK","05019","CLARK","05019","BRIAN CARROLL","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"CLARK","05019","CLARK","05019","BROCK PIERCE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",2,"CLARK","05019","CLARK","05019","CL GAMMON","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","CONSTITUTION","OTHER","TOTAL",1,"CLARK","05019","CLARK","05019","DON BLANKENSHIP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","SOCIALIST","OTHER","TOTAL",1,"CLARK","05019","CLARK","05019","GLORIA LA RIVA","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","GREEN","OTHER","TOTAL",2,"CLARK","05019","CLARK","05019","HOWIE HAWKINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","LIFE","OTHER","TOTAL",0,"CLARK","05019","CLARK","05019","JOHN RICHARD MYERS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",1,"CLARK","05019","CLARK","05019","KANYE WEST","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",2,"CLARK","05019","CLARK","05019","PHIL COLLINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",2,"CLARK","05019","CLARK","05019","ROCQUE ""ROCKY"" DE LA FUENTE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 3","US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",211,"CLARK","05019","CLARK","05019","DONALD J TRUMP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",568,"CLARK","05019","CLARK","05019","JOSEPH R BIDEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","LIBERTARIAN","LIBERTARIAN","TOTAL",8,"CLARK","05019","CLARK","05019","JO JORGENSEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","AMERICAN","OTHER","TOTAL",2,"CLARK","05019","CLARK","05019","BRIAN CARROLL","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"CLARK","05019","CLARK","05019","BROCK PIERCE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"CLARK","05019","CLARK","05019","CL GAMMON","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","CONSTITUTION","OTHER","TOTAL",5,"CLARK","05019","CLARK","05019","DON BLANKENSHIP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","SOCIALIST","OTHER","TOTAL",1,"CLARK","05019","CLARK","05019","GLORIA LA RIVA","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","GREEN","OTHER","TOTAL",2,"CLARK","05019","CLARK","05019","HOWIE HAWKINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","LIFE","OTHER","TOTAL",0,"CLARK","05019","CLARK","05019","JOHN RICHARD MYERS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",6,"CLARK","05019","CLARK","05019","KANYE WEST","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",9,"CLARK","05019","CLARK","05019","PHIL COLLINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",5,"CLARK","05019","CLARK","05019","ROCQUE ""ROCKY"" DE LA FUENTE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 4","US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",213,"CLARK","05019","CLARK","05019","DONALD J TRUMP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",485,"CLARK","05019","CLARK","05019","JOSEPH R BIDEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","LIBERTARIAN","LIBERTARIAN","TOTAL",8,"CLARK","05019","CLARK","05019","JO JORGENSEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","AMERICAN","OTHER","TOTAL",3,"CLARK","05019","CLARK","05019","BRIAN CARROLL","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",4,"CLARK","05019","CLARK","05019","BROCK PIERCE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",1,"CLARK","05019","CLARK","05019","CL GAMMON","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","CONSTITUTION","OTHER","TOTAL",4,"CLARK","05019","CLARK","05019","DON BLANKENSHIP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","SOCIALIST","OTHER","TOTAL",1,"CLARK","05019","CLARK","05019","GLORIA LA RIVA","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","GREEN","OTHER","TOTAL",2,"CLARK","05019","CLARK","05019","HOWIE HAWKINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","LIFE","OTHER","TOTAL",2,"CLARK","05019","CLARK","05019","JOHN RICHARD MYERS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",6,"CLARK","05019","CLARK","05019","KANYE WEST","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",9,"CLARK","05019","CLARK","05019","PHIL COLLINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"CLARK","05019","CLARK","05019","ROCQUE ""ROCKY"" DE LA FUENTE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKADELPHIA WARD 5","US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",443,"CLARK","05019","CLARK","05019","DONALD J TRUMP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",11,"ARKANSAS","05001","ARKANSAS","05001","JOSEPH R BIDEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","LIBERTARIAN","LIBERTARIAN","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","JO JORGENSEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","AMERICAN","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","BRIAN CARROLL","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","BROCK PIERCE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","CL GAMMON","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","CONSTITUTION","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","DON BLANKENSHIP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","SOCIALIST","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","GLORIA LA RIVA","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","GREEN","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","HOWIE HAWKINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","LIFE","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","JOHN RICHARD MYERS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","KANYE WEST","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","PHIL COLLINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"ARKANSAS","05001","ARKANSAS","05001","ROCQUE ""ROCKY"" DE LA FUENTE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKANSAS","US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",34,"ARKANSAS","05001","ARKANSAS","05001","DONALD J TRUMP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",8,"LITTLE RIVER","05081","LITTLE RIVER","05081","JOSEPH R BIDEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","LIBERTARIAN","LIBERTARIAN","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","JO JORGENSEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","AMERICAN","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","BRIAN CARROLL","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","BROCK PIERCE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","CL GAMMON","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","CONSTITUTION","OTHER","TOTAL",1,"LITTLE RIVER","05081","LITTLE RIVER","05081","DON BLANKENSHIP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","SOCIALIST","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","GLORIA LA RIVA","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","GREEN","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","HOWIE HAWKINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","LIFE","OTHER","TOTAL",1,"LITTLE RIVER","05081","LITTLE RIVER","05081","JOHN RICHARD MYERS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","KANYE WEST","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","PHIL COLLINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","ROCQUE ""ROCKY"" DE LA FUENTE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARKINDA","US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",17,"LITTLE RIVER","05081","LITTLE RIVER","05081","DONALD J TRUMP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",61,"MISSISSIPPI","05093","MISSISSIPPI","05093","JOSEPH R BIDEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","LIBERTARIAN","LIBERTARIAN","TOTAL",9,"MISSISSIPPI","05093","MISSISSIPPI","05093","JO JORGENSEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","AMERICAN","OTHER","TOTAL",1,"MISSISSIPPI","05093","MISSISSIPPI","05093","BRIAN CARROLL","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",2,"MISSISSIPPI","05093","MISSISSIPPI","05093","BROCK PIERCE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",1,"MISSISSIPPI","05093","MISSISSIPPI","05093","CL GAMMON","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","CONSTITUTION","OTHER","TOTAL",0,"MISSISSIPPI","05093","MISSISSIPPI","05093","DON BLANKENSHIP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","SOCIALIST","OTHER","TOTAL",1,"MISSISSIPPI","05093","MISSISSIPPI","05093","GLORIA LA RIVA","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","GREEN","OTHER","TOTAL",0,"MISSISSIPPI","05093","MISSISSIPPI","05093","HOWIE HAWKINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","LIFE","OTHER","TOTAL",0,"MISSISSIPPI","05093","MISSISSIPPI","05093","JOHN RICHARD MYERS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",1,"MISSISSIPPI","05093","MISSISSIPPI","05093","KANYE WEST","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",1,"MISSISSIPPI","05093","MISSISSIPPI","05093","PHIL COLLINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",0,"MISSISSIPPI","05093","MISSISSIPPI","05093","ROCQUE ""ROCKY"" DE LA FUENTE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ARMOREL PLANTING COMPANY","US PRESIDENT","REPUBLICAN","REPUBLICAN","TOTAL",433,"MISSISSIPPI","05093","MISSISSIPPI","05093","DONALD J TRUMP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ASHDOWN WARD 1","US PRESIDENT","DEMOCRAT","DEMOCRAT","TOTAL",180,"LITTLE RIVER","05081","LITTLE RIVER","05081","JOSEPH R BIDEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ASHDOWN WARD 1","US PRESIDENT","LIBERTARIAN","LIBERTARIAN","TOTAL",5,"LITTLE RIVER","05081","LITTLE RIVER","05081","JO JORGENSEN","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ASHDOWN WARD 1","US PRESIDENT","AMERICAN","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","BRIAN CARROLL","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ASHDOWN WARD 1","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",2,"LITTLE RIVER","05081","LITTLE RIVER","05081","BROCK PIERCE","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ASHDOWN WARD 1","US PRESIDENT","INDEPENDENT","OTHER","TOTAL",1,"LITTLE RIVER","05081","LITTLE RIVER","05081","CL GAMMON","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ASHDOWN WARD 1","US PRESIDENT","CONSTITUTION","OTHER","TOTAL",6,"LITTLE RIVER","05081","LITTLE RIVER","05081","DON BLANKENSHIP","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ASHDOWN WARD 1","US PRESIDENT","SOCIALIST","OTHER","TOTAL",1,"LITTLE RIVER","05081","LITTLE RIVER","05081","GLORIA LA RIVA","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ASHDOWN WARD 1","US PRESIDENT","GREEN","OTHER","TOTAL",0,"LITTLE RIVER","05081","LITTLE RIVER","05081","HOWIE HAWKINS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"ASHDOWN WARD 1","US PRESIDENT","LIFE","OTHER","TOTAL",5,"LITTLE RIVER","05081","LITTLE RIVER","05081","JOHN RICHARD MYERS","STATEWIDE",1,"PRESIDENT",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
